名前,カテゴリ,ファイル&メディア,メモ,公式リンク,場所,最終更新日時,計算用データ：終了,計算用データ：開始,計算用データ：開始曜日,開催期間
配信：劇場版総集編配信開始,配信,,"【時間】
4/6(月)12:00より配信開始！
【対象サービス】
・Amazon Prime Video / U-NEXT
【価格】
配信購入：各2,200円
【配信購入者限定！キャンペーン】
配信購入版をキャンペーン期間中にご購入いただいた方を対象に、
２周年メモリアルグッズの購入権利コードを獲得！
新規イラストは手島nariさん描きおろし！
5人の“軌跡”が描かれたイラストとなっております！
＜メモリアルグッズ＞
1.メモリアル メタルキャンバスアート～軌跡～
販売価格：170,000円(税込)
※【3/27更新】
手島nariさんの直筆サインをすべてに入るように変更。
また、特別なシリアルナンバーには手島nariさんの直筆イラスト入る。
2.メモリアル アクリルジオラマ～軌跡～
販売価格：7,000円(税込)


【キャンペーン期間】
〇グッズ購入権利コード配布期間
2026年4/6(月)12:00～5/10(日)23:59
〇商品受注期間
2026年4/6(月)12:00～5/18(月)23:59
※対象期間外での購入では対象となりません。

",https://x.com/girlsbandcry/status/2021056529860845986?s=20,"Amazon, U-NEXT",2026年3月28日 6:04,959,107,月,2026年4月6日 12:00 (GMT+9) → 2026年5月10日 23:59 (GMT+9)
配信：CDJ2526ライブ映像,配信,,"「rockin’on presents COUNTDOWN JAPAN 25/26」
YouTubeライブ特番配信決定

【配信場所】
https://www.youtube.com/@rockinon

【トゲナシトゲアリ出演日】
DAY1(12/27公演分) 
▼2/27(金)18:30〜
※トゲナシトゲアリの出演は、2/27(金)21:45頃～

【アーカイブ配信期間】
DAY1〜DAY3：各日のYouTubeでの配信終了後 〜 3月15日(日) 23:59
DAY4・DAY5：各日のYouTubeでの配信終了後 〜 3月22日(日) 23:59
※配信後のアーカイブ配信視聴はチケット申込者のみとなります",https://x.com/agehasprings/status/2022234289992331493?s=20,オンライン,2026年2月25日 22:08,-774,-798,金,2026年2月27日 18:30 (GMT+9)
ラジオ：第二十一回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年2月16日 6:16,-840,-865,火,2026年2月24日 23:30 (GMT+9) → 23:59
配信：WEBマガジン更新(第四回),配信,,"『ガールズバンドクライ』コミカライズ企画
WEBマガジン「コミックライド 」にて毎週金曜日更新予定
https://t.co/22IknQ5M4X

原作：東映アニメーション (https://x.com/toeianime_info?s=20)
漫画：伊勢海老ボイル (https://x.com/hasisisissy?s=20)
——
「怒りも喜びも哀しさも全部ぶちこめ。」
あの日、川崎で響いた音が―コミックとして再び幕を開ける",https://x.com/girlsbandcry/status/2014654343606423606?s=20,オンライン,2026年2月16日 6:20,-960,-984,金,2026年2月20日
ラジオ：第二十二回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年2月16日 6:17,-672,-697,火,2026年3月3日 23:30 (GMT+9) → 23:59
配信：アニメ再放送 on AT-X,配信,,"AT-XにてTVシリーズの再放送

【放送スケジュール】
2026年3月20日(金)スタート
毎週(金)18:00
毎週(火)6:00
毎週(木)13:00
【30分×2話ずつ】
—
※アニメシアターX（AT-X）はワンランク上のアニメ専門チャンネルです。
最新アニメや名作アニメ、OVA、劇場版アニメ、声優バラエティ番組などを24時間、365日放送しております。(HPより)
※月額2,180円",https://x.com/girlsbandcry/status/2023230866848428259?s=20,オンライン,2026年2月17日 3:59,-288,-312,金,2026年3月20日
申込：Zepp Tour 愛知公演追加販売,申込,,"機材席開放につき2階指定席の追加販売が決定

■販売開始日時：2/18(水)20:00〜
※先着順のため、予定枚数に達し次第終了になります。
■受付URL：https://w.pia.jp/t/toge26zepp/
■チケット金額：2階指定席 11,000円（税込）
※ドリンク代を入場時にいただきます
※未就学児入場不可/6歳以上チケット必要
■対象公演
2/23(月・祝) Zepp Nagoya 愛知公演",https://x.com/girlsbandcry/status/2023351657573310955?s=20,オンライン,2026年2月17日 4:04,-988,-1012,水,2026年2月18日 20:00 (GMT+9)
コラボ：川崎大師 住𠮷,コラボ,,"●終了日未定
【グッズ】
・久寿餅ガルクラ缶 1,500円
・アクリルスタンド 各1,900円

※酒井香澄さん描き下ろしイラストを使用した限定グッズ",https://x.com/Daishikuzumochi/status/2024740852883759543?s=20,川崎,2026年3月27日 2:31,-127,-808,金,2026年2月27日 8:30 (GMT+9) → 2026年3月26日 17:00 (GMT+9)
"コラボ：缶バッジ・スタンプ(No.18,19)",コラボ,,"●終了日未定
缶バッジ＆スタンプ
＜No.18＞住吉×安和すばる
＜No.19＞川崎水族館×海老塚智",https://x.com/mirai_things/status/2026582954730815602?s=20,"川崎大師 山門前, 川崎水族館",2026年3月24日 1:22,-216,-816,金,2026年2月27日 → 2026年3月23日
物販：バンドスコアvol.4(楽譜),物販,,"●終了日未定
・【収載曲】
1 ダレモ
2 飛べない蝶は夢を見る
3 薄采ディスプレイ
4 蜃気楼ニ問フ
5 もう何もいらない未来
6 命をくれよ
7 arrow
8 荊の薔薇
-全8曲-

【価格】4,400円",https://x.com/YMM_shuppan/status/2027303321619607657?s=20,"オンライン, 全国",2026年2月28日 1:39,551,-216,火,2026年3月24日 → 2026年4月24日
配信：MV放送 on TOKYO MX,配信,,"ガールズバンドクライ ミュージックビデオをTOKYO MXにて放送！

【配信期間】
2/27(金)～3/31(火)
毎週金曜 25:50～25:55
毎週火曜 7:30～7:35

【TOKYO MX番組表】
https://s.mxtv.jp/",https://x.com/girlsbandcry/status/2026975548296273961?s=20,オンライン,2026年2月28日 1:42,-24,-816,金,2026年2月27日 → 2026年3月31日
出展：アニメジャパン2026 First Riff,出展,,"アニメジャパン 2026 出展決定！

【期間】 3月28日(土)・29日(日)
【場所】東京ビッグサイト
@東映アニメーションブース
【プレゼント】記念ノベルティ
<3/22更新>
・オリジナルピック、オリジナルクリアファイルプレゼント(トゲトゲ/カナリリ)
・「トゲナシトゲアリ」と「Canna Lily」のキャラクターパネルの展示
",https://x.com/gbc_firstriff/status/2035672962540703939?s=20,東京ビッグサイト,2026年3月23日 2:26,-72,-120,土,2026年3月28日 → 2026年3月29日
コラボ：缶バッジ・スタンプ(No.20),コラボ,,"●終了日未定
缶バッジ＆スタンプ
＜No.20＞レインボーハット×井芹仁菜

スタンプ設置：レインボーハット川崎店
缶バッジ：スタンプギャラリー展",https://x.com/mirai_things/status/2029119665176240196?s=20,"GIRLS BAND CRY STAMP GALLERY, レインボーハット川崎",2026年3月24日 1:29,-216,-648,金,2026年3月6日 → 2026年3月23日
コラボ：オシップ(β)先行テスター募集,コラボ,,"【申込】
2026年3月9日(月) 23:59
【当選】
2026年3月10日(火)中
【テスト日】
2026年3月13日(金)・14日(土)
＠東京・お台場周辺
【募集人数】
各日20人

・オシップ(β)とは…
AI観光アプリで今回夕莉さんをモデルにしたマスコット「ゆにゃ」と会話しながら街歩きを楽しめるアプリ。",https://x.com/FIMMIGRM/status/2029451852434337946?s=20,オンライン,2026年3月6日 6:59,-528,-663,木,2026年3月5日 9:00 (GMT+9) → 2026年3月9日 23:59 (GMT+9)
ポップアップストア：ホワイトフォーカス(神奈川),ポップアップストア,,"■神奈川県 川崎ルフロン
2026年3月19日(木)～2026年4月5日(日)
・オンラインサイト
https://vvstore.jp/feature/detail/22145

■グッズラインナップ
・【TD】メタリック缶バッジ(10種)
・【TD】ビックグリッター缶バッジ(5種)
・【TD】アクリルキーホルダー(5種)
・ピックセット
・【TD】ステッカーコレクション(5種)
・アクリルスタンド(5種)
・【TD】ビッグクリアカード(12種)
・ポストカードセット
・A3クリアポスター
・ビックアクリルスタンド(5種)
・ビックビジュアルクロス(5種)

※別日程で他店舗開催
■神奈川県 川崎ルフロン
■大阪府 あべのキューズモール
■福岡県 福岡三越
■愛知県 タカシマヤ ゲートタワーモール",https://x.com/girlsbandcry/status/2029753849230004402?s=20,"オンライン, 川崎ルフロン",2026年3月7日 6:58,95,-336,木,2026年3月19日 → 2026年4月5日
ポップアップストア：ホワイトフォーカス(大阪),ポップアップストア,,"■大阪府 あべのキューズモール
2026年3月20日(金・祝)～2026年4月5日(日)
・オンラインサイト
https://vvstore.jp/feature/detail/22145

■グッズラインナップ
・【TD】メタリック缶バッジ(10種)
・【TD】ビックグリッター缶バッジ(5種)
・【TD】アクリルキーホルダー(5種)
・ピックセット
・【TD】ステッカーコレクション(5種)
・アクリルスタンド(5種)
・【TD】ビッグクリアカード(12種)
・ポストカードセット
・A3クリアポスター
・ビックアクリルスタンド(5種)
・ビックビジュアルクロス(5種)

※別日程で他店舗開催
■神奈川県 川崎ルフロン
■大阪府 あべのキューズモール
■福岡県 福岡三越
■愛知県 タカシマヤ ゲートタワーモール",https://x.com/girlsbandcry/status/2029753849230004402?s=20,"あべのキューズモール, オンライン",2026年3月7日 6:58,95,-312,金,2026年3月20日 → 2026年4月5日
ポップアップストア：ホワイトフォーカス(福岡),ポップアップストア,,"■福岡県 福岡三越
2026年4月10日(金)～2026年4月26日(日)
・オンラインサイト
https://vvstore.jp/feature/detail/22145

■グッズラインナップ
・【TD】メタリック缶バッジ(10種)
・【TD】ビックグリッター缶バッジ(5種)
・【TD】アクリルキーホルダー(5種)
・ピックセット
・【TD】ステッカーコレクション(5種)
・アクリルスタンド(5種)
・【TD】ビッグクリアカード(12種)
・ポストカードセット
・A3クリアポスター
・ビックアクリルスタンド(5種)
・ビックビジュアルクロス(5種)

※別日程で他店舗開催
■神奈川県 川崎ルフロン
■大阪府 あべのキューズモール
■福岡県 福岡三越
■愛知県 タカシマヤ ゲートタワーモール",https://x.com/girlsbandcry/status/2029753849230004402?s=20,"オンライン, 福岡三越",2026年3月7日 6:58,599,191,金,2026年4月10日 → 2026年4月26日
ポップアップストア：ホワイトフォーカス(愛知),ポップアップストア,,"■愛知県 タカシマヤ ゲートタワーモール
2026年4月29日(水・祝)～2026年5月6日(水・振)
・オンラインサイト
https://vvstore.jp/feature/detail/22145

■グッズラインナップ
・【TD】メタリック缶バッジ(10種)
・【TD】ビックグリッター缶バッジ(5種)
・【TD】アクリルキーホルダー(5種)
・ピックセット
・【TD】ステッカーコレクション(5種)
・アクリルスタンド(5種)
・【TD】ビッグクリアカード(12種)
・ポストカードセット
・A3クリアポスター
・ビックアクリルスタンド(5種)
・ビックビジュアルクロス(5種)

※別日程で他店舗開催
■神奈川県 川崎ルフロン
■大阪府 あべのキューズモール
■福岡県 福岡三越
■愛知県 タカシマヤ ゲートタワーモール",https://x.com/girlsbandcry/status/2029753849230004402?s=20,"オンライン, タカシマヤ ゲートタワーモール",2026年3月7日 6:58,839,647,水,2026年4月29日 → 2026年5月6日
申込：Zepp Tour 東京公演追加販売,申込,,"機材席開放につき1階スタンディングの追加販売が決定

■販売開始日時：3/7(土)18:00〜
※先着順のため、予定枚数に達し次第終了になります。
■受付URL
https://w.pia.jp/t/toge26zepp/
■チケット金額：１階スタンディング 9,900円（税込）
※ドリンク代を入場時にいただきます
※未就学児入場不可/6歳以上チケット必要
■対象公演
3/14(土) Zepp DiverCity(TOKYO) 東京公演",https://x.com/girlsbandcry/status/2029768940637815124?s=20,オンライン,2026年3月7日 7:02,-582,-606,土,2026年3月7日 18:00 (GMT+9)
コラボ：丸福珈琲店,コラボ,,"期間：3/8(日)～3/31(火)
販売店舗：丸福珈琲店 川崎アゼリア店

トゲナシトゲアリ クリームソーダがメニューに復活します！",https://x.com/mirai_things/status/2029844444116398216?s=20,川崎アゼリア,2026年3月7日 7:06,-24,-600,,2026年3月8日 → 2026年3月31日
申込：SAO_理名さん登壇,申込,,"SAO新作ゲーム『Echoes of Aincrad』（2026年7月9日・10日発売）で、劇中歌 『Reach for the Rainbow』 を 理名さん・加藤礼愛さん が担当
さらに、理名さんは「Echoes of Aincrad」のララ役 も担当
（ボイス出演の有無は現時点では不明）
また、本作のプロモーションアニメ
「Unanswered//butterfly」 の先行上映スペシャルイベント開催決定
応募締切：2026年4月5日(日) 23:59
応募条件：対象サイトで対象商品を予約し、応募フォームに情報入力
対象商品：『Echoes of Aincrad』
・プレミアムエディション
・プレミアムエディション 電撃スペシャルパック
開催日：5月9日(土)
会場：東京 / 大阪
参加費：無料
時間：
・第1部 12:00～15:00
・第2部 16:00～18:00
・第3部 19:00～21:00
※第1部のみ舞台挨拶付き上映
※大阪会場では、東京会場の舞台挨拶をライブビューイング形式で上映
当選通知：2026年4月16日",https://x.com/sao_gameinfo/status/2029728281696817248?s=20,オンライン,2026年3月8日 1:30,95,-648,金,2026年3月6日 → 2026年4月5日
舞台挨拶：SAO_理名さん登壇,舞台挨拶,,"SAO新作ゲーム『Echoes of Aincrad』（2026年7月9日・10日発売）で、劇中歌 『Reach for the Rainbow』 を 理名さん・加藤礼愛さん が担当
さらに、理名さんは「Echoes of Aincrad」のララ役 も担当
（ボイス出演の有無は現時点では不明）
また、本作のプロモーションアニメ
「Unanswered//butterfly」 の先行上映スペシャルイベント開催決定
応募締切：2026年4月5日(日) 23:59
応募条件：対象サイトで対象商品を予約し、応募フォームに情報入力
対象商品：『Echoes of Aincrad』
・プレミアムエディション
・プレミアムエディション 電撃スペシャルパック
開催日：5月9日(土)
会場：東京 / 大阪
参加費：無料
時間：
・第1部 12:00～15:00
・第2部 16:00～18:00
・第3部 19:00～21:00
※第1部のみ舞台挨拶付き上映
※大阪会場では、東京会場の舞台挨拶をライブビューイング形式で上映
当選通知：2026年4月16日",https://x.com/sao_gameinfo/status/2029728281696817248?s=20,"大阪, 東京",2026年3月8日 1:32,911,887,土,2026年5月9日
ラジオ：第二十三回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年3月10日 1:05,-504,-529,火,2026年3月10日 23:30 (GMT+9) → 23:59
ラジオ：第二十四回トゲラジ,ラジオ,,・毎週火曜日 23:30～0:00,https://togeradi-interfm.bitfan.id/,オンライン,2026年3月10日 1:06,-336,-361,火,2026年3月17日 23:30 (GMT+9) → 23:59
ラジオ：第二十五回トゲラジ,ラジオ,,"・毎週火曜日 23:30～0:00

interfm 30thの公開収録(3/21)の第一部内容を含む放送予定",https://togeradi-interfm.bitfan.id/,オンライン,2026年3月24日 1:37,-168,-193,火,2026年3月24日 23:30 (GMT+9) → 23:59
配信：WEBマガジン更新,配信,,"『ガールズバンドクライ』コミカライズ企画
WEBマガジン「コミックライド 」にて毎週金曜日更新予定
https://t.co/22IknQ5M4X

原作：東映アニメーション (https://x.com/toeianime_info?s=20)
漫画：伊勢海老ボイル (https://x.com/hasisisissy?s=20)
——
「怒りも喜びも哀しさも全部ぶちこめ。」
あの日、川崎で響いた音が―コミックとして再び幕を開ける",https://x.com/girlsbandcry/status/2014654343606423606?s=20,オンライン,2026年3月10日 1:08,-624,-648,金,2026年3月6日
物販：2nd～5thLIVEグッズ,物販,,"●終了日未定
ガルクラスタンプギャラリー にて
2nd〜5thLIVEグッズの一部商品お取扱い決定",https://x.com/mirai_things/status/2031293993494130750?s=20,GIRLS BAND CRY STAMP GALLERY,2026年3月11日 9:06,263,-504,木,2026年3月12日 → 2026年4月12日
リリース：劇場版総集編発売,リリース,,"【7/22発売】
劇場版総集編ガールズバンドクライ 前編・後編 同時発売

【価格】
初回限定版BD：16,500円
通常版BD：8,800円
通常版DVD：7,700円

【特典】
・全形態共通：ライブ2026最速先行抽選申込券
・初回限定版：描きおろしジャケット/特典CD/ブックレット ほか
・店舗別購入特典あり
・受注限定で前後編＋井芹仁菜ぬいセット(39,600円/4/26締切)
※リミスタもあります",https://x.com/girlsbandcry/status/2032774239057739962?s=20,"オンライン, 全国",2026年3月16日 3:16,2687,2663,水,2026年7月22日
配信：劇場版総集編【前編】 リミスタ,配信,,"【発売記念配信】
劇場版総集編ガールズバンドクライ Blu-ray/DVD発売記念
オンライントーク配信＆サイン会開催

【開催日時】
・2026/4/24(金)19:00～20:00予定
・2026/7/10(金)19:00～20:00予定

【出演】
・理名さん(井芹仁菜 役)
・夕莉さん(河原木桃香 役)
・朱李さん(ルパ 役)

【購入特典】
・リミスタ対象商品購入でジャケット絵柄カード同梱
・抽選100名にサイン＋ニックネーム＋日付入り
※ニックネーム/日付記入メンバーはランダム",https://limista.com/projects/7230?id=7230,オンライン,2026年3月16日 3:33,571,546,金,2026年4月24日 19:00 (GMT+9) → 20:00
配信：劇場版総集編【後編】 リミスタ,配信,,"【発売記念配信】
劇場版総集編ガールズバンドクライ Blu-ray/DVD発売記念
オンライントーク配信＆サイン会開催

【開催日時】
・2026/4/24(金)19:00～20:00予定
・2026/7/10(金)19:00～20:00予定

【出演】
・理名さん(井芹仁菜 役)
・夕莉さん(河原木桃香 役)
・朱李さん(ルパ 役)

【購入特典】
・リミスタ対象商品購入でジャケット絵柄カード同梱
・抽選100名にサイン＋ニックネーム＋日付入り
※ニックネーム/日付記入メンバーはランダム",https://limista.com/projects/7230?id=7230,オンライン,2026年3月16日 3:33,2419,2394,金,2026年7月10日 19:00 (GMT+9) → 20:00
申込：TOUR 2026 FINAL “拍動の未来 -ENCORE-”,申込,,"【開催日時・会場】
2026/5/1(金)
OPEN 18:00 / START 19:00
東京ガーデンシアター

【チケット】
・グッズ付き指定席：15,400円(税込)
・指定席：11,000円(税込)
※グッズはキービジュアル使用デザイン

【最速先行抽選】
受付：3/25(水)10:00～4/6(月)23:59
当落：4/11(土)13:00～
入金：4/11(土)13:00～4/14(火)23:59

【申込】
・「トゲナシトゲアリ 5th ONE-MAN LIVE “鳴動の刻”」Blu-ray&DVD封入シリアルで申込
・シリアル1つにつき2枚まで
・複数シリアルがあれば複数申込可
・グッズ有無で座席優劣なし",https://x.com/girlsbandcry/status/2032773745509626294?s=20,オンライン,2026年3月16日 3:41,143,-182,水,2026年3月25日 10:00 (GMT+9) → 2026年4月6日 23:59 (GMT+9)
ライブ：TOUR 2026 FINAL “拍動の未来 -ENCORE-”,ライブ,,"【開催日時・会場】
2026/5/1(金)
OPEN 18:00 / START 19:00
東京ガーデンシアター

【チケット】
・グッズ付き指定席：15,400円(税込)
・指定席：11,000円(税込)
※グッズはキービジュアル使用デザイン

【最速先行抽選】
受付：3/25(水)10:00～4/6(月)23:59
当落：4/11(土)13:00～
入金：4/11(土)13:00～4/14(火)23:59

【申込】
・「トゲナシトゲアリ 5th ONE-MAN LIVE “鳴動の刻”」Blu-ray&DVD封入シリアルで申込
・シリアル1つにつき2枚まで
・複数シリアルがあれば複数申込可
・グッズ有無で座席優劣なし",https://x.com/girlsbandcry/status/2032773745509626294?s=20,オンライン,2026年3月16日 3:43,737,713,金,2026年5月1日 18:00 (GMT+9)
配信：アナログレコード盤 リミスタ,配信,,"【8/19発売】
「棘アリ」「棘ナシ」
完全生産限定アナログレコード盤 同時リリース

【価格】
各5,500円(税込)

【特典】
・手島nariさん新規描きおろしジャケット
・先着封入：ジャケット絵柄ステッカー
※5/24(日)までの予約推奨

【収録】
棘アリ10曲 / 棘ナシ12曲

【発売記念配信】
5/29(金)19:00～
出演：理名さん / 夕莉さん / 朱李さん

【リミスタ特典】
・ジャケット絵柄カード同梱
・抽選100名にサイン＋宛名＋日付入り
※記入メンバーはランダム",https://x.com/girlsbandcry/status/2032773987198185633?s=20,オンライン,2026年3月16日 3:49,1411,1386,金,2026年5月29日 19:00 (GMT+9) → 20:00
リリース：アナログレコード盤,リリース,,"【8/19発売】
「棘アリ」「棘ナシ」
完全生産限定アナログレコード盤 同時リリース

【価格】
各5,500円(税込)

【特典】
・手島nariさん新規描きおろしジャケット
・先着封入：ジャケット絵柄ステッカー
※5/24(日)までの予約推奨

【収録】
棘アリ10曲 / 棘ナシ12曲

【発売記念配信】
5/29(金)19:00～
出演：理名さん / 夕莉さん / 朱李さん

【リミスタ特典】
・ジャケット絵柄カード同梱
・抽選100名にサイン＋宛名＋日付入り
※記入メンバーはランダム",https://x.com/girlsbandcry/status/2032773987198185633?s=20,オンライン,2026年3月16日 3:50,3359,3335,水,2026年8月19日
配信：ガルリフ公式生放送第1回,配信,,"【公式生放送】
ガルリフ初の公式生放送が決定

【日時】
3/22(日)19:00～

【出演】
・MC：村田綾香さん
・ゲスト：トゲトゲ以外のメンバー

【内容】
・ガルリフ新情報
【3/16更新】
・本作は『D4DJ Groovy Mix』『Tokyo 7th シスターズ』のDONUTSが携わる
• 配信形式：(予定)スマートフォン(iOS、Android)
【3/21更新】
配信場所：ガルクラ公式YouTube チャンネル
https://t.co/tTUKSAZxg1
※続報あり",https://x.com/gbc_firstriff/status/2032781287769968822?s=20,オンライン,2026年3月22日 2:06,-221,-245,,2026年3月22日 19:00 (GMT+9)
物販：Stride! ver. in アニメイト,物販,,"【事前予約】
2026/3/19(木)12:00～
アニメイト通販にて受付開始

【開催期間】
2026/7/10(金)～7/26(日)

【開催店舗】
池袋本店 / 新宿店 / 渋谷店 / 秋葉原店 / 川崎店 / 横浜ビブレ店 / 名古屋店 / 梅田店 / 大阪日本橋店 / 福岡パルコ店 / アニメイト通販

【商品】
・“60s Mods”イメージ
・酒井香澄さん描き下ろしイラスト使用

【詳細】
https://bushiroad-creative.com/topics/97362/

【商品内容】
アクリルジオラマ
ジオラマアクリルスタンド(5種)
SNS風アクリルキーホルダー(5種)
【TD】缶バッジ(10種)
【TD】メタリックチケット風カード(5種)
【TD】ブロマイド(10種)
【TD】クリアカード(12種)
※購入特典
期間中、1会計2,000円(税込)お買い上げごとに【ピック型ステッカー(全5種)】をランダムで1枚プレゼント",https://x.com/bushi_creative/status/2034464904930033886?s=20,オンライン,2026年3月19日 23:44,431,-336,木,2026年3月19日 → 2026年4月19日
コラボ：SCREAM CAFE at 東京,コラボ,,"【開催日程】in Tree Village
・東京：4/4(土)～4/17(金)
・横浜：4/24(金)～5/15(金)
・大阪/博多：6/6(土)～6/18(木)
・オンライン：4/4(土)12:00～6/18(木)23:59
【内容】
・酒井香澄さん描き下ろしイラスト/グッズ展開
アクリルスタンド(5種)
【TD】メタリック缶バッジ(10種)
【TD】ビッグクリアカード(12種)
【TD】お名前クリップバッジ(5種)
ピックセット
【TD】ステッカー(6種)
【TD】場面写缶バッジ(5種)
クリアファイル
Tシャツ
※3,300円購入ごとにオリジナルポストカード1枚プレゼント",https://x.com/girlsbandcry/status/2034540384605642854?s=20,東京,2026年3月19日 23:56,383,47,土,2026年4月4日 → 2026年4月17日
コラボ：SCREAM CAFE at 横浜,コラボ,,"【開催日程】in Tree Village
・東京：4/4(土)～4/17(金)
・横浜：4/24(金)～5/15(金)
・大阪/博多：6/6(土)～6/18(木)
・オンライン：4/4(土)12:00～6/18(木)23:59
【内容】
・酒井香澄さん描き下ろしイラスト/グッズ展開
アクリルスタンド(5種)
【TD】メタリック缶バッジ(10種)
【TD】ビッグクリアカード(12種)
【TD】お名前クリップバッジ(5種)
ピックセット
【TD】ステッカー(6種)
【TD】場面写缶バッジ(5種)
クリアファイル
Tシャツ
※3,300円購入ごとにオリジナルポストカード1枚プレゼント",https://x.com/girlsbandcry/status/2034540384605642854?s=20,横浜,2026年3月19日 23:58,1055,527,金,2026年4月24日 → 2026年5月15日
コラボ：SCREAM CAFE at 大阪/博多,コラボ,,"【開催日程】in Tree Village
・東京：4/4(土)～4/17(金)
・横浜：4/24(金)～5/15(金)
・大阪/博多：6/6(土)～6/18(木)
・オンライン：4/4(土)12:00～6/18(木)23:59
【内容】
・酒井香澄さん描き下ろしイラスト/グッズ展開
アクリルスタンド(5種)
【TD】メタリック缶バッジ(10種)
【TD】ビッグクリアカード(12種)
【TD】お名前クリップバッジ(5種)
ピックセット
【TD】ステッカー(6種)
【TD】場面写缶バッジ(5種)
クリアファイル
Tシャツ
※3,300円購入ごとにオリジナルポストカード1枚プレゼント",https://x.com/girlsbandcry/status/2034540384605642854?s=20,"博多, 大阪",2026年3月19日 23:59,1871,1559,土,2026年6月6日 → 2026年6月18日
コラボ：SCREAM CAFE オンライン,コラボ,,"【開催日程】in Tree Village
・東京：4/4(土)～4/17(金)
・横浜：4/24(金)～5/15(金)
・大阪/博多：6/6(土)～6/18(木)
・オンライン：4/4(土)12:00～6/18(木)23:59
【内容】
・酒井香澄さん描き下ろしイラスト/グッズ展開
アクリルスタンド(5種)
【TD】メタリック缶バッジ(10種)
【TD】ビッグクリアカード(12種)
【TD】お名前クリップバッジ(5種)
ピックセット
【TD】ステッカー(6種)
【TD】場面写缶バッジ(5種)
クリアファイル
Tシャツ
※3,300円購入ごとにオリジナルポストカード1枚プレゼント",https://x.com/girlsbandcry/status/2034540384605642854?s=20,オンライン,2026年3月20日 0:09,1895,59,土,2026年4月4日 12:00 (GMT+9) → 2026年6月18日 23:59 (GMT+9)
PUS：ドットアート at Anibirth,ポップアップストア,,"ドット絵ver.グッズ！

【商品】
アクリルキーホルダー(5種)
【TD】アクリルブロック(10種)
ステッカー
マウスパッド
【TD】缶バッジ(10種)

【取扱店舗】
Anibirth池袋PARCO店/心斎橋PARCO店：3/27～
オンライン(東映アニメーションオフィシャルストア)：3/27 13時～",https://x.com/girlsbandcry/status/2034842366209925631?s=20,"AniBirth心斎橋, AniBirth池袋, オンライン",2026年3月21日 8:29,623,-144,金,2026年3月27日 → 2026年4月27日
配信：ガルリフ公式生放送第2回,配信,,"【日時】
4/18(土)19:00～

【出演】
・MC：情報なし
・ゲスト：情報なし

【内容】
・未定(新バンド紹介？)

配信場所：ガルクラ公式YouTube チャンネル
https://t.co/tTUKSAZxg1",https://x.com/gbc_firstriff/status/2032781287769968822?s=20,オンライン,2026年3月23日 2:21,426,402,土,2026年4月18日 19:00 (GMT+9)
申込：<先行抽選>Canna Lily 1st ONE-MAN LIVE,申込,,"【ワンマンライブ】
Canna Lily 1st ONE-MAN LIVE「未明に咲く花」開催

【日時・会場】
2026/6/26(金)
代官山UNIT
OPEN 18:00 / START 19:00

【チケット】
5,500円(税込)

【先行抽選】
受付：3/22(日)21:00～4/1(水)23:59
結果発表：4/8(水)予定

【出演】
Canna Lily
・箭野結羽さん(橘田楓役)
・早坂莉寧さん(星亜矢芽役)
・紫乃月姫咲さん(榊原紫苑役)
・佐野櫻さん(雪志摩ナズナ役)
・椎名在音さん(千ヶ崎竜胆役)",https://x.com/CannaLily_GBC/status/2035670433207664840?s=20,オンライン,2026年3月23日 2:49,23,-243,,2026年3月22日 21:00 (GMT+9) → 2026年4月1日 23:59 (GMT+9)
ライブ：Canna Lily 1st ONE-MAN LIVE,ライブ,,"【ワンマンライブ】
Canna Lily 1st ONE-MAN LIVE「未明に咲く花」開催

【日時・会場】
2026/6/26(金)
代官山UNIT
OPEN 18:00 / START 19:00

【チケット】
5,500円(税込)

【出演】
Canna Lily
・箭野結羽さん(橘田楓役)
・早坂莉寧さん(星亜矢芽役)
・紫乃月姫咲さん(榊原紫苑役)
・佐野櫻さん(雪志摩ナズナ役)
・椎名在音さん(千ヶ崎竜胆役)",https://x.com/CannaLily_GBC/status/2035670433207664840?s=20,代官山UNIT,2026年3月23日 2:35,2063,2039,金,2026年6月26日
